sonarqube, e9b5effe30cf68820a3dfb00bf736a325313206b
sonarqube, eea589c564a924993e8edba9d8fa9691e756bce4
sonarqube, 3c0dd8758d56ce8583a3a74c17a181e4cfe5918c
sonarqube, 29bcb44528a2bf2d1ac7aa7715f38f5164e498aa
sonarqube, 75e47ba5a19b3d4ab901d2ed7a180714b141d580
sonarqube, 9c10956d8a65e1e3a851691d69cee367ac4e0869
infinispan, 1fa5a795f0697d3b73cdf167faeaaf8b66d19425
error-prone, 19cf690b5a27798774aaf33c4c2af0d9072873fc
cryptomator, edfd264e479e5678cd147fa1ee90680806f82dd8
flink, e1805583b75ab7d31726cd605241e6faee793efb
che, 00ca1592c72cd6f02c61085345a62cb6df92895e
junit5, 403115a6d6026d5724e3d5323474aa56f1613944
junit5, a498e23bcbbeea5ff2e6c9f0234f968602d6df4e
junit5, 755fbf21a01ddd0ff92f291c0b473731da213f39
graylog2-server, 921d04dc6f945af310c2f7174cee0c07b594d06c
jetty.project, c4eb2da79c473e18f5b4063a28da1db7785d1ef2
jetty.project, 194b1d349a0dca6b195df29e9a4b6e9cb559760a
jetty.project, 9a8f22d5dd6f5896c7e91b45bf8b5f13b0b5f2a7
jetty.project, 9a4b7807810d884a56a8022f48021a9def75e761
jetty.project, 0ebc0fa9ce30bc6cd4bdeca7e95942b345a6c587
jetty.project, 877815e1959963f051a1c425405b0a4360f8a9e7
orientdb, dc9057c849e4200c42c2422e65f89bd69c3f9f8c
orientdb, de410aa8d3455b55f3c39e49780136c0b6c5e64b
orientdb, 91f66463a92bfe8a62f3f76c38646e9816952c6b
orientdb, c34da9fd00b9d3be2a8975704f67ac82ca0886cb
dropwizard, 18bec95e1b79dd8f398daab0df6350426690d60e
javaparser, ee729dcafee513affb8482a375ff119e525a1001
javaparser, c102011e058233af13c6d8040409583f8f60f34e
javaparser, 710ed4002cd644da01a080b11b5312a9a1f684a7
neo4j, 77a5e62f9d5a56a48f82b6bdd8519b18275bef1d
neo4j, 0d14f84874fe67f67d5bff45a39637dd819693cb
wildfly, 5e2955593fbde0e63afb82451444a9b4a1746d37
wildfly, 1492d8fffa3dd2a8a8887602e38a9ec2480a6e2a
wildfly, df9e16241207ebc412ddd16c790c4b7fee31a5c0
wildfly, 3c3ac91975e1a2db4ac767a8e9a043207ef03e85
undertow, 4428e96024ae631b8c299dc7fcda657b35e7e7a8
speedment, c92970e1fa21010714d6f3d523ff2a9156918299
AsciidocFX, d89a354fc2fff4431a3d74c100cb445159e62df6